itemset support
"CATL_1 NPERR_2 STOCD_10 ==> INAT_11" " 243895 #CONF: 0.9193316144985224"
"NPERR_2 STOCD_10 ==> CATL_1 INAT_11" " 243895 #CONF: 0.9193316144985224"
"INAT_11 NPERR_3 SANI_2 ==> CATL_1" " 237506 #CONF: 1.0"
"CATL_1 NPERR_3 SANI_2 ==> INAT_11" " 237506 #CONF: 0.8918101975450493"
"CATL_1 INAT_11 NPERR_3 ==> SANI_2" " 237506 #CONF: 0.9778054072302251"
"NPERR_3 SANI_2 ==> CATL_1 INAT_11" " 237506 #CONF: 0.8918101975450493"
"INAT_11 NPERR_3 ==> CATL_1 SANI_2" " 237506 #CONF: 0.9778054072302251"
"CATL_1 NPERR_3 ==> INAT_11 SANI_2" " 237506 #CONF: 0.8679061881061486"
"NPERR_3 ==> CATL_1 INAT_11 SANI_2" " 237506 #CONF: 0.8679061881061486"
"INAT_11 NPERR_4 SANI_2 ==> CATL_1" " 244791 #CONF: 1.0"
"CATL_1 NPERR_4 SANI_2 ==> INAT_11" " 244791 #CONF: 0.889851395169616"
"CATL_1 INAT_11 NPERR_4 ==> SANI_2" " 244791 #CONF: 0.9800499651685123"
"NPERR_4 SANI_2 ==> CATL_1 INAT_11" " 244791 #CONF: 0.889851395169616"
"INAT_11 NPERR_4 ==> CATL_1 SANI_2" " 244791 #CONF: 0.9800499651685123"
"CATL_1 NPERR_4 ==> INAT_11 SANI_2" " 244791 #CONF: 0.8669218891659112"
"NPERR_4 ==> CATL_1 INAT_11 SANI_2" " 244791 #CONF: 0.8669218891659112"
"INAT_11 SANI_2 SEXE_1 ==> CATL_1" " 597000 #CONF: 1.0"
"CATL_1 SANI_2 SEXE_1 ==> INAT_11" " 597000 #CONF: 0.8819371298486229"
"CATL_1 INAT_11 SEXE_1 ==> SANI_2" " 597000 #CONF: 0.972837148364998"
"SANI_2 SEXE_1 ==> CATL_1 INAT_11" " 597000 #CONF: 0.8819371298486229"
"INAT_11 SEXE_1 ==> CATL_1 SANI_2" " 597000 #CONF: 0.9527426860641035"
"CATL_1 SEXE_1 ==> INAT_11 SANI_2" " 597000 #CONF: 0.8537218411219364"
"INAT_11 SANI_2 SEXE_2 ==> CATL_1" " 637826 #CONF: 1.0"
"CATL_1 SANI_2 SEXE_2 ==> INAT_11" " 637826 #CONF: 0.8817935984781454"
"CATL_1 INAT_11 SEXE_2 ==> SANI_2" " 637826 #CONF: 0.9757495280550975"
"SANI_2 SEXE_2 ==> CATL_1 INAT_11" " 637826 #CONF: 0.8817935984781454"
"INAT_11 SEXE_2 ==> CATL_1 SANI_2" " 637826 #CONF: 0.9565405178425477"
"CATL_1 SEXE_2 ==> INAT_11 SANI_2" " 637826 #CONF: 0.8561388343402644"
"INAT_11 SANI_2 STOCD_10 ==> CATL_1" " 718336 #CONF: 1.0"
"CATL_1 SANI_2 STOCD_10 ==> INAT_11" " 718336 #CONF: 0.9198680517138935"
"CATL_1 INAT_11 STOCD_10 ==> SANI_2" " 718336 #CONF: 0.980537651141014"
"SANI_2 STOCD_10 ==> CATL_1 INAT_11" " 718336 #CONF: 0.9198680517138935"
"INAT_11 STOCD_10 ==> CATL_1 SANI_2" " 718336 #CONF: 0.980537651141014"
"CATL_1 STOCD_10 ==> INAT_11 SANI_2" " 718336 #CONF: 0.9001230511677331"
"STOCD_10 ==> CATL_1 INAT_11 SANI_2" " 718336 #CONF: 0.9001230511677331"
"INAT_11 SANI_2 STOCD_21 ==> CATL_1" " 269029 #CONF: 1.0"
"CATL_1 SANI_2 STOCD_21 ==> INAT_11" " 269029 #CONF: 0.882635284545377"
"CATL_1 INAT_11 STOCD_21 ==> SANI_2" " 269029 #CONF: 0.9712168143190302"
"SANI_2 STOCD_21 ==> CATL_1 INAT_11" " 269029 #CONF: 0.882635284545377"
"INAT_11 STOCD_21 ==> CATL_1 SANI_2" " 269029 #CONF: 0.9712168143190302"
"CATL_1 STOCD_21 ==> INAT_11 SANI_2" " 269029 #CONF: 0.8522206031424228"
"STOCD_21 ==> CATL_1 INAT_11 SANI_2" " 269029 #CONF: 0.8522206031424228"
"INAT_11 SANI_2 SURF_4 ==> CATL_1" " 234909 #CONF: 1.0"
"CATL_1 INAT_11 SURF_4 ==> SANI_2" " 234909 #CONF: 0.9635750587598292"
"INAT_11 SURF_4 ==> CATL_1 SANI_2" " 234909 #CONF: 0.9635750587598292"
"INAT_11 SANI_2 SURF_5 ==> CATL_1" " 311252 #CONF: 1.0"
"CATL_1 SANI_2 SURF_5 ==> INAT_11" " 311252 #CONF: 0.8818211437394643"
"CATL_1 INAT_11 SURF_5 ==> SANI_2" " 311252 #CONF: 0.9737305607087774"
"SANI_2 SURF_5 ==> CATL_1 INAT_11" " 311252 #CONF: 0.8818211437394643"
"INAT_11 SURF_5 ==> CATL_1 SANI_2" " 311252 #CONF: 0.9737305607087774"
"CATL_1 SURF_5 ==> INAT_11 SANI_2" " 311252 #CONF: 0.854186791955739"
"SURF_5 ==> CATL_1 INAT_11 SANI_2" " 311252 #CONF: 0.854186791955739"
"INAT_11 SANI_2 SURF_6 ==> CATL_1" " 242067 #CONF: 1.0"
"CATL_1 SANI_2 SURF_6 ==> INAT_11" " 242067 #CONF: 0.9145509362107268"
"CATL_1 INAT_11 SURF_6 ==> SANI_2" " 242067 #CONF: 0.9816936422514305"
"SANI_2 SURF_6 ==> CATL_1 INAT_11" " 242067 #CONF: 0.9145509362107268"
"INAT_11 SURF_6 ==> CATL_1 SANI_2" " 242067 #CONF: 0.9816936422514305"
"CATL_1 SURF_6 ==> INAT_11 SANI_2" " 242067 #CONF: 0.8952413708934772"
"SURF_6 ==> CATL_1 INAT_11 SANI_2" " 242067 #CONF: 0.8952413708934772"
"INAT_11 SANI_2 SURF_7 ==> CATL_1" " 285915 #CONF: 1.0"
"CATL_1 SANI_2 SURF_7 ==> INAT_11" " 285915 #CONF: 0.9289137250442665"
"CATL_1 INAT_11 SURF_7 ==> SANI_2" " 285915 #CONF: 0.9887983565850723"
"SANI_2 SURF_7 ==> CATL_1 INAT_11" " 285915 #CONF: 0.9289137250442665"
"INAT_11 SURF_7 ==> CATL_1 SANI_2" " 285915 #CONF: 0.9887983565850723"
"CATL_1 SURF_7 ==> INAT_11 SANI_2" " 285915 #CONF: 0.9169790988483039"
"SURF_7 ==> CATL_1 INAT_11 SANI_2" " 285915 #CONF: 0.9169790988483039"
"INAT_11 SANI_2 TACT_11 ==> CATL_1" " 505063 #CONF: 1.0"
"CATL_1 SANI_2 TACT_11 ==> INAT_11" " 505063 #CONF: 0.8922901612988711"
"CATL_1 INAT_11 TACT_11 ==> SANI_2" " 505063 #CONF: 0.9790623109966968"
"SANI_2 TACT_11 ==> CATL_1 INAT_11" " 505063 #CONF: 0.8922901612988711"
"INAT_11 TACT_11 ==> CATL_1 SANI_2" " 505063 #CONF: 0.9701686346147567"
"CATL_1 TACT_11 ==> INAT_11 SANI_2" " 505063 #CONF: 0.86967669281685"
"TACT_11 ==> CATL_1 INAT_11 SANI_2" " 505063 #CONF: 0.8615147121535182"
"INAT_11 SANI_2 TACT_21 ==> CATL_1" " 264184 #CONF: 1.0"
"CATL_1 SANI_2 TACT_21 ==> INAT_11" " 264184 #CONF: 0.8966392658109273"
"CATL_1 INAT_11 TACT_21 ==> SANI_2" " 264184 #CONF: 0.9742698986948714"
"SANI_2 TACT_21 ==> CATL_1 INAT_11" " 264184 #CONF: 0.8966392658109273"
"INAT_11 TACT_21 ==> CATL_1 SANI_2" " 264184 #CONF: 0.9386767480448972"
"CATL_1 TACT_21 ==> INAT_11 SANI_2" " 264184 #CONF: 0.8719001445554097"
"INAT_11 SEXE_1 STOCD_10 ==> CATL_1" " 358768 #CONF: 1.0"
"CATL_1 SEXE_1 STOCD_10 ==> INAT_11" " 358768 #CONF: 0.9198637003458771"
"SEXE_1 STOCD_10 ==> CATL_1 INAT_11" " 358768 #CONF: 0.9198637003458771"
"INAT_11 SEXE_1 TACT_11 ==> CATL_1" " 265833 #CONF: 0.9862908491882105"
"CATL_1 SEXE_1 TACT_11 ==> INAT_11" " 265833 #CONF: 0.8797202982338282"
"SEXE_1 TACT_11 ==> CATL_1 INAT_11" " 265833 #CONF: 0.86743980395292"
"INAT_11 SEXE_2 STOCD_10 ==> CATL_1" " 373826 #CONF: 1.0"
"CATL_1 SEXE_2 STOCD_10 ==> INAT_11" " 373826 #CONF: 0.9161975300169845"
"SEXE_2 STOCD_10 ==> CATL_1 INAT_11" " 373826 #CONF: 0.9161975300169845"
"INAT_11 SEXE_2 TACT_11 ==> CATL_1" " 250031 #CONF: 0.9958815446199192"
"CATL_1 SEXE_2 TACT_11 ==> INAT_11" " 250031 #CONF: 0.8975550043256787"
"SEXE_2 TACT_11 ==> CATL_1 INAT_11" " 250031 #CONF: 0.8936285039296908"
"INAT_11 STOCD_10 SURF_7 ==> CATL_1" " 258755 #CONF: 1.0"
"CATL_1 STOCD_10 SURF_7 ==> INAT_11" " 258755 #CONF: 0.9318795692728779"
"CATL_1 INAT_11 SURF_7 ==> STOCD_10" " 258755 #CONF: 0.894869170061628"
"STOCD_10 SURF_7 ==> CATL_1 INAT_11" " 258755 #CONF: 0.9318795692728779"
"INAT_11 SURF_7 ==> CATL_1 STOCD_10" " 258755 #CONF: 0.894869170061628"
"INAT_11 STOCD_10 TACT_11 ==> CATL_1" " 308362 #CONF: 1.0"
"CATL_1 STOCD_10 TACT_11 ==> INAT_11" " 308362 #CONF: 0.9140118326357848"
"STOCD_10 TACT_11 ==> CATL_1 INAT_11" " 308362 #CONF: 0.9140118326357848"
"MODV_11 NA38_ZZ SANI_2 ==> CATL_1" " 263305 #CONF: 1.0"
"CATL_1 MODV_11 SANI_2 ==> NA38_ZZ" " 263305 #CONF: 0.8976776058748526"
"CATL_1 MODV_11 NA38_ZZ ==> SANI_2" " 263305 #CONF: 0.9691911291064691"
"MODV_11 SANI_2 ==> CATL_1 NA38_ZZ" " 263305 #CONF: 0.8976776058748526"
"MODV_11 NA38_ZZ ==> CATL_1 SANI_2" " 263305 #CONF: 0.9691911291064691"
"CATL_1 MODV_11 ==> NA38_ZZ SANI_2" " 263305 #CONF: 0.8703808381016604"
"MODV_11 ==> CATL_1 NA38_ZZ SANI_2" " 263305 #CONF: 0.8703808381016604"
"MODV_32 SANI_2 TACT_11 ==> CATL_1" " 239818 #CONF: 1.0"
"CATL_1 MODV_32 TACT_11 ==> SANI_2" " 239818 #CONF: 0.9785733813742252"
"MODV_32 TACT_11 ==> CATL_1 SANI_2" " 239818 #CONF: 0.9785733813742252"
"MODV_40 NPERR_2 SANI_2 ==> CATL_1" " 264573 #CONF: 1.0"
"CATL_1 MODV_40 SANI_2 ==> NPERR_2" " 264573 #CONF: 0.972280204030634"
"CATL_1 MODV_40 NPERR_2 ==> SANI_2" " 264573 #CONF: 0.9778429082522693"
"MODV_40 SANI_2 ==> CATL_1 NPERR_2" " 264573 #CONF: 0.972280204030634"
"MODV_40 NPERR_2 ==> CATL_1 SANI_2" " 264573 #CONF: 0.9778429082522693"
"CATL_1 MODV_40 ==> NPERR_2 SANI_2" " 264573 #CONF: 0.9504432980802391"
"MODV_40 ==> CATL_1 NPERR_2 SANI_2" " 264573 #CONF: 0.9504432980802391"
"NA38_ZZ NBPI_4 SANI_2 ==> CATL_1" " 221504 #CONF: 1.0"
"CATL_1 NA38_ZZ NBPI_4 ==> SANI_2" " 221504 #CONF: 0.960663387892824"
"NA38_ZZ NBPI_4 ==> CATL_1 SANI_2" " 221504 #CONF: 0.960663387892824"
"NA38_ZZ NPERR_2 SANI_2 ==> CATL_1" " 252764 #CONF: 1.0"
"CATL_1 NA38_ZZ NPERR_2 ==> SANI_2" " 252764 #CONF: 0.9727828322480334"
"NA38_ZZ NPERR_2 ==> CATL_1 SANI_2" " 252764 #CONF: 0.9727828322480334"
"NA38_ZZ SANI_2 SEXE_1 ==> CATL_1" " 383191 #CONF: 1.0"
"CATL_1 NA38_ZZ SEXE_1 ==> SANI_2" " 383191 #CONF: 0.9649443985575857"
"NA38_ZZ SEXE_1 ==> CATL_1 SANI_2" " 383191 #CONF: 0.9382392909173267"
"NA38_ZZ SANI_2 SEXE_2 ==> CATL_1" " 451026 #CONF: 1.0"
"CATL_1 NA38_ZZ SEXE_2 ==> SANI_2" " 451026 #CONF: 0.9669663875274959"
"NA38_ZZ SEXE_2 ==> CATL_1 SANI_2" " 451026 #CONF: 0.9398450491150129"
"NA38_ZZ SANI_2 STOCD_10 ==> CATL_1" " 449725 #CONF: 1.0"
"CATL_1 NA38_ZZ STOCD_10 ==> SANI_2" " 449725 #CONF: 0.9762411270540734"
"NA38_ZZ STOCD_10 ==> CATL_1 SANI_2" " 449725 #CONF: 0.9762411270540734"
"NA38_ZZ SANI_2 TACT_21 ==> CATL_1" " 294638 #CONF: 1.0"
"CATL_1 SANI_2 TACT_21 ==> NA38_ZZ" " 294638 #CONF: 1.0"
"CATL_1 NA38_ZZ TACT_21 ==> SANI_2" " 294638 #CONF: 0.9724090588056686"
"SANI_2 TACT_21 ==> CATL_1 NA38_ZZ" " 294638 #CONF: 1.0"
"NA38_ZZ TACT_21 ==> CATL_1 SANI_2" " 294638 #CONF: 0.9376239104630552"
"CATL_1 TACT_21 ==> NA38_ZZ SANI_2" " 294638 #CONF: 0.9724090588056686"
"TACT_21 ==> CATL_1 NA38_ZZ SANI_2" " 294638 #CONF: 0.9376239104630552"
"NA38_ZZ SANI_2 TACT_23 ==> CATL_1" " 232308 #CONF: 1.0"
"CATL_1 SANI_2 TACT_23 ==> NA38_ZZ" " 232308 #CONF: 1.0"
"CATL_1 NA38_ZZ TACT_23 ==> SANI_2" " 232308 #CONF: 0.9674702959782441"
"SANI_2 TACT_23 ==> CATL_1 NA38_ZZ" " 232308 #CONF: 1.0"
"NA38_ZZ TACT_23 ==> CATL_1 SANI_2" " 232308 #CONF: 0.9598591869367787"
"CATL_1 TACT_23 ==> NA38_ZZ SANI_2" " 232308 #CONF: 0.9674702959782441"
"TACT_23 ==> CATL_1 NA38_ZZ SANI_2" " 232308 #CONF: 0.9598591869367787"
"NA38_ZZ SEXE_2 STOCD_10 ==> CATL_1" " 246666 #CONF: 1.0"
"NBPI_5 SANI_2 STOCD_10 ==> CATL_1" " 244947 #CONF: 1.0"
"CATL_1 NBPI_5 STOCD_10 ==> SANI_2" " 244947 #CONF: 0.9821175829066546"
"NBPI_5 STOCD_10 ==> CATL_1 SANI_2" " 244947 #CONF: 0.9821175829066546"
"NPERR_2 SANI_2 STOCD_10 ==> CATL_1" " 259806 #CONF: 1.0"
"CATL_1 NPERR_2 STOCD_10 ==> SANI_2" " 259806 #CONF: 0.9793061335263253"
"NPERR_2 STOCD_10 ==> CATL_1 SANI_2" " 259806 #CONF: 0.9793061335263253"
"SANI_2 SEXE_1 STOCD_10 ==> CATL_1" " 381457 #CONF: 1.0"
"CATL_1 SEXE_1 STOCD_10 ==> SANI_2" " 381457 #CONF: 0.9780371926783805"
"SEXE_1 STOCD_10 ==> CATL_1 SANI_2" " 381457 #CONF: 0.9780371926783805"
"SANI_2 SEXE_1 TACT_11 ==> CATL_1" " 293728 #CONF: 1.0"
"CATL_1 SEXE_1 TACT_11 ==> SANI_2" " 293728 #CONF: 0.9720331326796369"
"SEXE_1 TACT_11 ==> CATL_1 SANI_2" " 293728 #CONF: 0.9584639933171701"
"SANI_2 SEXE_2 STOCD_10 ==> CATL_1" " 399455 #CONF: 1.0"
"CATL_1 SEXE_2 STOCD_10 ==> SANI_2" " 399455 #CONF: 0.9790107813606719"
"SEXE_2 STOCD_10 ==> CATL_1 SANI_2" " 399455 #CONF: 0.9790107813606719"
"SANI_2 SEXE_2 TACT_11 ==> CATL_1" " 272302 #CONF: 1.0"
"CATL_1 SEXE_2 TACT_11 ==> SANI_2" " 272302 #CONF: 0.9775028807943454"
"SEXE_2 TACT_11 ==> CATL_1 SANI_2" " 272302 #CONF: 0.9732266354054605"
"SANI_2 STOCD_10 SURF_7 ==> CATL_1" " 274416 #CONF: 1.0"
"CATL_1 STOCD_10 SURF_7 ==> SANI_2" " 274416 #CONF: 0.9882810530485828"
"CATL_1 SANI_2 SURF_7 ==> STOCD_10" " 274416 #CONF: 0.8915544437044136"
"STOCD_10 SURF_7 ==> CATL_1 SANI_2" " 274416 #CONF: 0.9882810530485828"
"SANI_2 SURF_7 ==> CATL_1 STOCD_10" " 274416 #CONF: 0.8915544437044136"
"CATL_1 SURF_7 ==> SANI_2 STOCD_10" " 274416 #CONF: 0.8800998072488543"
"SURF_7 ==> CATL_1 SANI_2 STOCD_10" " 274416 #CONF: 0.8800998072488543"
"SANI_2 STOCD_10 TACT_11 ==> CATL_1" " 331187 #CONF: 1.0"
"CATL_1 STOCD_10 TACT_11 ==> SANI_2" " 331187 #CONF: 0.9816671211600251"
"STOCD_10 TACT_11 ==> CATL_1 SANI_2" " 331187 #CONF: 0.9816671211600251"
"CMBL_2 COUPLE_1 INAT_11 ==> SANI_2" " 247522 #CONF: 0.9801997449727152"
"CMBL_2 COUPLE_2 NA38_ZZ ==> INAT_11" " 240109 #CONF: 0.8920646007408205"
"CMBL_2 COUPLE_2 SANI_2 ==> INAT_11" " 313790 #CONF: 0.8989546239768981"
"CMBL_2 COUPLE_2 INAT_11 ==> SANI_2" " 313790 #CONF: 0.971371789077446"
"CMBL_2 COUPLE_2 ==> INAT_11 SANI_2" " 313790 #CONF: 0.8696170292957762"
"CMBL_2 COUPLE_2 NA38_ZZ ==> SANI_2" " 260082 #CONF: 0.9662692589193829"
"CMBL_2 GARL_1 SANI_2 ==> INAT_11" " 373512 #CONF: 0.8922630024939562"
"CMBL_2 GARL_1 INAT_11 ==> SANI_2" " 373512 #CONF: 0.9813767735155018"
"CMBL_2 GARL_1 ==> INAT_11 SANI_2" " 373512 #CONF: 0.8726671214825753"
"CMBL_2 GARL_1 STOCD_10 ==> INAT_11" " 228521 #CONF: 0.9021325480040424"
"CMBL_2 GARL_1 NA38_ZZ ==> SANI_2" " 240689 #CONF: 0.9761448021056816"
"CMBL_2 GARL_1 STOCD_10 ==> SANI_2" " 249207 #CONF: 0.9837946879737242"
"CMBL_2 NA38_ZZ SANI_2 ==> INAT_11" " 335161 #CONF: 0.8590986104667406"
"CMBL_2 INAT_11 NA38_ZZ ==> SANI_2" " 335161 #CONF: 0.9723717956156944"
"CMBL_2 SANI_2 SEXE_1 ==> INAT_11" " 266105 #CONF: 0.8650417234194024"
"CMBL_2 INAT_11 SEXE_1 ==> SANI_2" " 266105 #CONF: 0.9741120226080526"
"CMBL_2 SANI_2 SEXE_2 ==> INAT_11" " 295207 #CONF: 0.8676816812403556"
"CMBL_2 INAT_11 SEXE_2 ==> SANI_2" " 295207 #CONF: 0.9762685071581405"
"CMBL_2 SANI_2 STOCD_10 ==> INAT_11" " 278448 #CONF: 0.8983932374007872"
"CMBL_2 INAT_11 STOCD_10 ==> SANI_2" " 278448 #CONF: 0.9829287923073664"
"CMBL_2 STOCD_10 ==> INAT_11 SANI_2" " 278448 #CONF: 0.8809443208818049"
"CMBL_2 SANI_2 TACT_11 ==> INAT_11" " 226151 #CONF: 0.8775236210542654"
"CMBL_2 INAT_11 TACT_11 ==> SANI_2" " 226151 #CONF: 0.9795344687191393"
"CMBL_2 TACT_11 ==> INAT_11 SANI_2" " 226151 #CONF: 0.8556958481056722"
"COUPLE_1 GARL_1 NPERR_2 ==> INAT_11" " 240053 #CONF: 0.9113871667052655"
"COUPLE_1 GARL_1 SANI_2 ==> INAT_11" " 456868 #CONF: 0.8856073396771736"
"COUPLE_1 GARL_1 INAT_11 ==> SANI_2" " 456868 #CONF: 0.9841054438693195"
"COUPLE_1 GARL_1 ==> INAT_11 SANI_2" " 456868 #CONF: 0.868177516636959"
"COUPLE_1 GARL_1 SEXE_1 ==> INAT_11" " 232673 #CONF: 0.8824033586037674"
"COUPLE_1 GARL_1 SEXE_2 ==> INAT_11" " 231574 #CONF: 0.8819951477203045"
"COUPLE_1 INAT_11 STOCD_10 ==> GARL_1" " 349571 #CONF: 0.8557387723927912"
"COUPLE_1 GARL_1 STOCD_10 ==> INAT_11" " 349571 #CONF: 0.9015626491015863"
"COUPLE_1 GARL_1 TACT_11 ==> INAT_11" " 272453 #CONF: 0.8962859398644648"
"GARL_1 MODV_32 SANI_2 ==> COUPLE_1" " 241148 #CONF: 0.9958785195708374"
"COUPLE_1 GARL_1 MODV_32 ==> SANI_2" " 241148 #CONF: 0.9801807953695575"
"GARL_1 MODV_32 ==> COUPLE_1 SANI_2" " 241148 #CONF: 0.9759441827335568"
"GARL_1 MODV_40 SANI_2 ==> COUPLE_1" " 221585 #CONF: 0.9944395576778085"
"COUPLE_1 GARL_1 MODV_40 ==> SANI_2" " 221585 #CONF: 0.9818113341308875"
"GARL_1 MODV_40 ==> COUPLE_1 SANI_2" " 221585 #CONF: 0.9762184833225396"
"COUPLE_1 GARL_1 NPERR_2 ==> SANI_2" " 258513 #CONF: 0.9814725524216665"
"COUPLE_1 GARL_1 SEXE_1 ==> SANI_2" " 258477 #CONF: 0.9802640311588624"
"COUPLE_1 GARL_1 SEXE_2 ==> SANI_2" " 257404 #CONF: 0.9803737855018149"
"COUPLE_1 SANI_2 STOCD_10 ==> GARL_1" " 381594 #CONF: 0.8529184305696494"
"COUPLE_1 GARL_1 STOCD_10 ==> SANI_2" " 381594 #CONF: 0.9841517102999698"
"COUPLE_1 GARL_1 TACT_11 ==> SANI_2" " 298669 #CONF: 0.9825284558194618"
"INAT_11 MODV_32 SANI_2 ==> COUPLE_1" " 262166 #CONF: 0.9949222782196855"
"COUPLE_1 INAT_11 MODV_32 ==> SANI_2" " 262166 #CONF: 0.9818473257856359"
"INAT_11 MODV_32 ==> COUPLE_1 SANI_2" " 262166 #CONF: 0.9765842683235737"
"INAT_11 MODV_40 NPERR_2 ==> COUPLE_1" " 240474 #CONF: 0.9937270653575325"
"COUPLE_1 MODV_40 NPERR_2 ==> INAT_11" " 240474 #CONF: 0.8945606321005289"
"COUPLE_1 INAT_11 MODV_40 ==> NPERR_2" " 240474 #CONF: 0.9765917526945476"
"MODV_40 NPERR_2 ==> COUPLE_1 INAT_11" " 240474 #CONF: 0.8887747257621005"
"INAT_11 MODV_40 ==> COUPLE_1 NPERR_2" " 240474 #CONF: 0.9701930913169425"
"COUPLE_1 MODV_40 ==> INAT_11 NPERR_2" " 240474 #CONF: 0.8697542362153462"
"MODV_40 ==> COUPLE_1 INAT_11 NPERR_2" " 240474 #CONF: 0.8638708472238188"
"INAT_11 MODV_40 SANI_2 ==> COUPLE_1" " 241339 #CONF: 0.9936348477674619"
"COUPLE_1 MODV_40 SANI_2 ==> INAT_11" " 241339 #CONF: 0.8927437910140789"
"COUPLE_1 INAT_11 MODV_40 ==> SANI_2" " 241339 #CONF: 0.9801046142350084"
"MODV_40 SANI_2 ==> COUPLE_1 INAT_11" " 241339 #CONF: 0.8868974995957606"
"INAT_11 MODV_40 ==> COUPLE_1 SANI_2" " 241339 #CONF: 0.9736829364727146"
"COUPLE_1 MODV_40 ==> INAT_11 SANI_2" " 241339 #CONF: 0.8728827965350743"
"MODV_40 ==> COUPLE_1 INAT_11 SANI_2" " 241339 #CONF: 0.8669782446258191"
"COUPLE_1 INAT_11 NA38_ZZ ==> SANI_2" " 240011 #CONF: 0.9683993495882474"
"COUPLE_1 NPERR_2 SANI_2 ==> INAT_11" " 294732 #CONF: 0.896490470309829"
"COUPLE_1 INAT_11 NPERR_2 ==> SANI_2" " 294732 #CONF: 0.9799020536809663"
"COUPLE_1 NPERR_2 ==> INAT_11 SANI_2" " 294732 #CONF: 0.8759220404063219"
"COUPLE_1 SANI_2 SEXE_1 ==> INAT_11" " 288718 #CONF: 0.8557295031921137"
"COUPLE_1 INAT_11 SEXE_1 ==> SANI_2" " 288718 #CONF: 0.9736782644179373"
"COUPLE_1 SANI_2 SEXE_2 ==> INAT_11" " 288012 #CONF: 0.8574439707528521"
"COUPLE_1 INAT_11 SEXE_2 ==> SANI_2" " 288012 #CONF: 0.9763515804032706"
"COUPLE_1 SANI_2 STOCD_10 ==> INAT_11" " 401959 #CONF: 0.8984371856825466"
"COUPLE_1 INAT_11 STOCD_10 ==> SANI_2" " 401959 #CONF: 0.9839829425559729"
"COUPLE_1 STOCD_10 ==> INAT_11 SANI_2" " 401959 #CONF: 0.8817365400814263"
"COUPLE_1 SANI_2 TACT_11 ==> INAT_11" " 336719 #CONF: 0.8830954591470099"
"COUPLE_1 INAT_11 TACT_11 ==> SANI_2" " 336719 #CONF: 0.9797799038607028"
"COUPLE_1 TACT_11 ==> INAT_11 SANI_2" " 336719 #CONF: 0.8609184998823879"
"COUPLE_1 STOCD_10 TACT_11 ==> INAT_11" " 233756 #CONF: 0.9055220902980883"
"MODV_32 SANI_2 TACT_11 ==> COUPLE_1" " 238799 #CONF: 0.9957509444662203"
"COUPLE_1 MODV_32 TACT_11 ==> SANI_2" " 238799 #CONF: 0.9787766879664886"
"MODV_32 TACT_11 ==> COUPLE_1 SANI_2" " 238799 #CONF: 0.9744153687328875"
"MODV_40 NPERR_2 SANI_2 ==> COUPLE_1" " 262911 #CONF: 0.9937181798596229"
"COUPLE_1 MODV_40 SANI_2 ==> NPERR_2" " 262911 #CONF: 0.9725413747438354"
"COUPLE_1 MODV_40 NPERR_2 ==> SANI_2" " 262911 #CONF: 0.9780260250429659"
"MODV_40 SANI_2 ==> COUPLE_1 NPERR_2" " 262911 #CONF: 0.9661725146628644"
"MODV_40 NPERR_2 ==> COUPLE_1 SANI_2" " 262911 #CONF: 0.9717002749770852"
"COUPLE_1 MODV_40 ==> NPERR_2 SANI_2" " 262911 #CONF: 0.9509051123930774"
"MODV_40 ==> COUPLE_1 NPERR_2 SANI_2" " 262911 #CONF: 0.9444727842280722"
"NPERR_2 SANI_2 STOCD_10 ==> COUPLE_1" " 227773 #CONF: 0.8767041561780713"
"COUPLE_1 NPERR_2 STOCD_10 ==> SANI_2" " 227773 #CONF: 0.9812176640115796"
"NPERR_2 STOCD_10 ==> COUPLE_1 SANI_2" " 227773 #CONF: 0.8585617574332067"
"COUPLE_1 SEXE_1 STOCD_10 ==> SANI_2" " 224045 #CONF: 0.9812590879627197"
"COUPLE_1 SEXE_2 STOCD_10 ==> SANI_2" " 223353 #CONF: 0.9815643292843708"
"COUPLE_1 STOCD_10 TACT_11 ==> SANI_2" " 254053 #CONF: 0.9841484437041198"
"CS1_8 DIPL_15_Z INAT_11 ==> COUPLE_2" " 222620 #CONF: 1.0"
"COUPLE_2 DIPL_15_Z INAT_11 ==> CS1_8" " 222620 #CONF: 1.0"
"COUPLE_2 CS1_8 DIPL_15_Z ==> INAT_11" " 222620 #CONF: 0.9198299335187151"
"DIPL_15_Z INAT_11 ==> COUPLE_2 CS1_8" " 222620 #CONF: 1.0"
"CS1_8 DIPL_15_Z ==> COUPLE_2 INAT_11" " 222620 #CONF: 0.9198299335187151"
"COUPLE_2 DIPL_15_Z ==> CS1_8 INAT_11" " 222620 #CONF: 0.9198299335187151"
"DIPL_15_Z ==> COUPLE_2 CS1_8 INAT_11" " 222620 #CONF: 0.9198299335187151"
"CS1_8 DIPL_15_Z NA38_ZZ ==> COUPLE_2" " 242023 #CONF: 1.0"
"COUPLE_2 DIPL_15_Z NA38_ZZ ==> CS1_8" " 242023 #CONF: 1.0"
"COUPLE_2 CS1_8 DIPL_15_Z ==> NA38_ZZ" " 242023 #CONF: 1.0"
"DIPL_15_Z NA38_ZZ ==> COUPLE_2 CS1_8" " 242023 #CONF: 1.0"
"CS1_8 DIPL_15_Z ==> COUPLE_2 NA38_ZZ" " 242023 #CONF: 1.0"
"COUPLE_2 DIPL_15_Z ==> CS1_8 NA38_ZZ" " 242023 #CONF: 1.0"
